sex,sex_label,age_group,age_group_label,weight_class_kg,year,result_count,squat_sample_size,avg_squat_kg,bench_sample_size,avg_bench_kg,deadlift_sample_size,avg_deadlift_kg,dataset_updated
M,Males,sub_junior,Sub-Junior (up to 18),83+,2025,7,7,200.36,7,125.71,7,231.43,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),85,2024,2,2,170.0,2,116.25,2,182.5,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),85+,2024,2,2,218.75,2,141.25,2,247.5,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),93,2022,701,701,180.86,701,114.26,701,211.02,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),93,2023,1184,1183,187.04,1184,115.53,1184,216.02,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),93,2024,1443,1443,191.89,1443,118.83,1443,219.05,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),93,2025,1355,1355,197.05,1355,123.51,1355,223.47,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),93,2026,646,646,193.69,646,122.37,646,218.11,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),93+,2022,1,1,190.0,1,110.0,1,205.0,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),93+,2023,1,1,147.5,1,102.5,1,175.0,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),93+,2024,8,8,204.38,8,127.31,8,216.63,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),93+,2025,17,17,225.29,17,130.76,17,235.09,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),93+,2026,9,9,223.89,9,135.28,9,237.78,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),105,2022,392,392,196.82,392,124.6,392,223.81,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),105,2023,588,588,196.63,588,121.33,588,223.97,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),105,2024,798,797,199.57,798,122.78,798,223.9,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),105,2025,760,760,203.68,760,126.51,760,225.15,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),105,2026,371,371,204.68,371,128.45,371,228.06,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),105+,2022,1,1,175.0,1,100.0,1,225.0,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),105+,2023,1,1,200.0,1,117.5,1,240.0,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),105+,2024,4,4,192.5,4,141.38,4,223.88,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),105+,2025,5,5,214.0,5,136.5,5,223.5,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),105+,2026,3,3,235.83,3,145.0,3,241.67,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),120,2022,154,154,200.67,154,124.26,154,223.05,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),120,2023,267,267,206.11,266,125.13,267,225.15,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),120,2024,344,344,209.44,344,128.07,344,227.47,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),120,2025,321,321,205.16,321,129.47,321,221.66,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),120,2026,159,159,198.14,159,124.29,159,216.6,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),120+,2022,109,109,207.8,109,124.38,109,219.76,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),120+,2023,126,126,209.64,126,126.32,126,216.91,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),120+,2024,157,157,215.58,157,129.93,157,221.71,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),120+,2025,176,176,222.45,176,132.85,176,224.22,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),120+,2026,98,98,213.1,98,130.14,98,219.55,2026-08-31
M,Males,junior,Junior (19–23),46,2024,1,1,70.0,1,37.5,1,85.0,2026-08-31
M,Males,junior,Junior (19–23),53,2022,35,35,138.93,35,81.86,35,170.96,2026-08-31
M,Males,junior,Junior (19–23),53,2023,46,46,132.27,46,84.45,46,162.96,2026-08-31
M,Males,junior,Junior (19–23),53,2024,78,78,135.61,78,87.13,78,162.2,2026-08-31
M,Males,junior,Junior (19–23),53,2025,77,77,140.68,77,86.9,77,167.16,2026-08-31
M,Males,junior,Junior (19–23),53,2026,51,51,139.95,51,90.93,51,171.17,2026-08-31
M,Males,junior,Junior (19–23),59,2022,252,252,148.81,251,95.95,252,182.47,2026-08-31
M,Males,junior,Junior (19–23),59,2023,350,350,147.87,350,93.6,350,183.74,2026-08-31
M,Males,junior,Junior (19–23),59,2024,319,319,155.08,318,97.77,319,187.25,2026-08-31
M,Males,junior,Junior (19–23),59,2025,325,325,159.12,325,102.28,325,191.47,2026-08-31
M,Males,junior,Junior (19–23),59,2026,193,193,164.49,193,102.94,193,194.51,2026-08-31
M,Males,junior,Junior (19–23),66,2022,564,564,165.73,564,107.05,564,198.96,2026-08-31
M,Males,junior,Junior (19–23),66,2023,800,800,167.23,800,108.21,800,202.26,2026-08-31
M,Males,junior,Junior (19–23),66,2024,966,966,171.44,966,108.3,966,204.88,2026-08-31
M,Males,junior,Junior (19–23),66,2025,954,954,175.26,954,111.33,954,206.67,2026-08-31
M,Males,junior,Junior (19–23),66,2026,585,585,179.18,585,114.07,585,210.22,2026-08-31
M,Males,junior,Junior (19–23),74,2022,1257,1257,182.1,1257,117.41,1257,214.54,2026-08-31
M,Males,junior,Junior (19–23),74,2023,1752,1751,181.87,1750,115.83,1752,214.79,2026-08-31
M,Males,junior,Junior (19–23),74,2024,2008,2007,187.43,2008,118.7,2008,218.3,2026-08-31
M,Males,junior,Junior (19–23),74,2025,2062,2062,190.36,2062,120.93,2062,219.35,2026-08-31
M,Males,junior,Junior (19–23),74,2026,1094,1094,191.97,1094,122.22,1094,222.17,2026-08-31
M,Males,junior,Junior (19–23),83,2022,2081,2081,193.65,2080,125.2,2081,226.39,2026-08-31
M,Males,junior,Junior (19–23),83,2023,2660,2660,196.71,2660,125.27,2660,229.11,2026-08-31
M,Males,junior,Junior (19–23),83,2024,2987,2986,199.38,2987,126.37,2987,229.77,2026-08-31
M,Males,junior,Junior (19–23),83,2025,3186,3186,204.83,3186,129.7,3186,233.22,2026-08-31
M,Males,junior,Junior (19–23),83,2026,1701,1701,206.18,1701,131.75,1701,233.79,2026-08-31
M,Males,junior,Junior (19–23),83+,2022,26,26,234.94,26,145.87,26,253.27,2026-08-31
M,Males,junior,Junior (19–23),83+,2023,25,25,215.6,25,139.6,25,240.3,2026-08-31
M,Males,junior,Junior (19–23),83+,2024,5,5,198.0,5,122.5,5,210.0,2026-08-31
M,Males,junior,Junior (19–23),83+,2025,8,8,218.44,8,137.81,8,242.5,2026-08-31
M,Males,junior,Junior (19–23),83+,2026,7,7,234.0,7,138.57,7,254.64,2026-08-31
M,Males,junior,Junior (19–23),85,2024,2,2,167.5,2,110.0,2,222.5,2026-08-31
M,Males,junior,Junior (19–23),85+,2024,1,1,260.0,1,170.0,1,282.5,2026-08-31
M,Males,junior,Junior (19–23),93,2022,1983,1983,207.59,1982,133.78,1983,240.02,2026-08-31
M,Males,junior,Junior (19–23),93,2023,2589,2589,209.31,2589,133.51,2589,240.66,2026-08-31
M,Males,junior,Junior (19–23),93,2024,3076,3076,213.69,3075,134.98,3076,241.78,2026-08-31
M,Males,junior,Junior (19–23),93,2025,3235,3235,217.44,3235,137.71,3235,245.02,2026-08-31
M,Males,junior,Junior (19–23),93,2026,1672,1672,218.32,1672,139.13,1672,244.85,2026-08-31
M,Males,junior,Junior (19–23),93+,2022,4,4,221.88,4,146.25,4,250.63,2026-08-31
M,Males,junior,Junior (19–23),93+,2023,4,4,178.75,4,123.75,4,218.75,2026-08-31
M,Males,junior,Junior (19–23),93+,2024,16,16,230.44,16,138.59,16,249.22,2026-08-31
M,Males,junior,Junior (19–23),93+,2025,14,14,242.5,14,144.46,14,256.5,2026-08-31
M,Males,junior,Junior (19–23),93+,2026,21,21,242.02,21,153.21,21,256.79,2026-08-31
M,Males,junior,Junior (19–23),105,2022,1211,1211,220.42,1211,141.06,1211,250.3,2026-08-31
M,Males,junior,Junior (19–23),105,2023,1648,1648,225.02,1648,143.01,1647,253.17,2026-08-31
M,Males,junior,Junior (19–23),105,2024,1890,1890,228.17,1889,143.92,1890,254.45,2026-08-31
M,Males,junior,Junior (19–23),105,2025,2064,2064,233.73,2064,146.86,2064,257.99,2026-08-31
M,Males,junior,Junior (19–23),105,2026,1120,1120,233.51,1120,148.22,1120,257.6,2026-08-31
M,Males,junior,Junior (19–23),105+,2022,2,2,248.75,2,161.25,2,285.0,2026-08-31
M,Males,junior,Junior (19–23),105+,2024,2,2,232.5,2,137.5,2,266.25,2026-08-31
M,Males,junior,Junior (19–23),105+,2025,10,10,219.25,10,147.5,10,265.0,2026-08-31
M,Males,junior,Junior (19–23),105+,2026,5,5,269.0,5,172.0,5,269.0,2026-08-31
